"evaluation of sin","difference from sin","relative error"
"-0.98768834059512711","1.354472090042691e-14","-1.3713557550214083e-14"
"-0.99396095545516849","1.3322676295501878e-14","-1.3403621361968684e-14"
"-0.99802672842826701","5.773159728050814e-15","-5.7845742640005109e-15"
"-0.99987663248167158","-1.0658141036401503e-14","1.0659456067043339e-14"
"-0.99950656036570218","2.8754776337791554e-14","-2.8768972088857377e-14"
"-0.99691733373313229","-5.9952043329758453e-15","6.0137426947185124e-15"
"-0.99211470131448454","-9.5479180117763462e-15","9.6238045854235361e-15"
"-0.98510932615478386","-1.3988810110276972e-14","1.4200261573890734e-14"
"-0.97591676193875054","-8.3266726846886741e-15","8.5321545949749099e-15"
"-0.96455741845779674","-5.1070259132757201e-15","5.2946831526538098e-15"
"-0.95105651629514665","-8.8817841970012523e-16","9.3388605669833055e-16"
"-0.93544403082988392","-2.5757174171303632e-14","2.7534703651327736e-14"
"-0.91775462568398802","-1.7430501486614958e-14","1.8992550948598718e-14"
"-0.89802757576061432","-1.0547118733938987e-14","1.1744760426767382e-14"
"-0.87630668004386192","-1.1657341758564144e-14","1.3302810561686933e-14"
"-0.85264016435407375","3.6637359812630166e-15","-4.2969310319066445e-15"
"-0.82708057427453363","1.1879386363489175e-14","-1.436303394491994e-14"
"-0.79968465848707304","-2.2204460492503131e-16","2.7766520536372242e-16"
"-0.77051324277575106","1.8984813721090177e-14","-2.4639179013585131e-14"
"-0.73963109497858648","2.4424906541753444e-15","-3.3023093144103824e-15"
"-0.70710678118653503","-9.6589403142388619e-15","1.365980439054927e-14"
"-0.6730125135097409","8.7707618945387367e-15","-1.3032093339244692e-14"
"-0.63742398974865389","1.0769163338864018e-14","-1.6894819636628807e-14"
"-0.60042022532587358","-1.609823385706477e-14","2.6811611564763671e-14"
"-0.56208337785209628","6.3282712403633923e-15","-1.1258598794623153e-14"
"-0.52249856471590828","1.1213252548714081e-14","-2.1460829380097311e-14"
"-0.48175367410167946","5.1070259132757201e-15","-1.0600907035734971e-14"
"-0.43993916985589893","-1.5820678100908481e-14","3.5961058221051508e-14"
"-0.39714789063473416","1.3156142841808105e-14","-3.3126558524032727e-14"
"-0.35347484377922439","-1.7763568394002505e-15","5.0254123331892551e-15"
"-0.30901699437492047","-8.7707618945387367e-15","2.8382781705195475e-14"
"-0.26387304996535127","-1.5154544286133387e-14","5.7431193856758675e-14"
"-0.21814324139649813","6.5503158452884236e-15","-3.0027590143773211e-14"
"-0.17192910027937619","-5.467848396278896e-15","3.1802925667580935e-14"
"-0.12533323356426887","-4.3576253716537394e-15","3.4768315216405638e-14"
"-0.078459095727800382","4.0245584642661925e-15","-5.1294989152417235e-14"
"-0.031410759078088837","-1.8041124150158794e-15","5.7436129147049973e-14"
"0.015707317311868925","6.3525573690270676e-15","4.0443299405618116e-13"
"0.062790519529366526","1.0713652187632761e-14","1.706253152217337e-13"
"0.10973431109107992","-8.2295281700339729e-15","-7.4995031984142262e-14"
